# Lightning emoji catalogue; Unicode Emoji 17.0; emojis crate 0.8.2
# emoji\tname\taliases\tcategory\tbaseEmoji\ttone
😀	grinning face	grinning	Smileys & Emotion	😀	none
😃	grinning face with big eyes	smiley	Smileys & Emotion	😃	none
😄	grinning face with smiling eyes	smile	Smileys & Emotion	😄	none
😁	beaming face with smiling eyes	grin	Smileys & Emotion	😁	none
😆	grinning squinting face	laughing satisfied	Smileys & Emotion	😆	none
😅	grinning face with sweat	sweat_smile	Smileys & Emotion	😅	none
🤣	rolling on the floor laughing	rofl	Smileys & Emotion	🤣	none
😂	face with tears of joy	joy	Smileys & Emotion	😂	none
🙂	slightly smiling face	slightly_smiling_face	Smileys & Emotion	🙂	none
🙃	upside-down face	upside_down_face	Smileys & Emotion	🙃	none
🫠	melting face	melting_face	Smileys & Emotion	🫠	none
😉	winking face	wink	Smileys & Emotion	😉	none
😊	smiling face with smiling eyes	blush	Smileys & Emotion	😊	none
😇	smiling face with halo	innocent	Smileys & Emotion	😇	none
🥰	smiling face with hearts	smiling_face_with_three_hearts	Smileys & Emotion	🥰	none
😍	smiling face with heart-eyes	heart_eyes	Smileys & Emotion	😍	none
🤩	star-struck	star_struck	Smileys & Emotion	🤩	none
😘	face blowing a kiss	kissing_heart	Smileys & Emotion	😘	none
😗	kissing face	kissing	Smileys & Emotion	😗	none
☺️	smiling face	relaxed	Smileys & Emotion	☺️	none
😚	kissing face with closed eyes	kissing_closed_eyes	Smileys & Emotion	😚	none
😙	kissing face with smiling eyes	kissing_smiling_eyes	Smileys & Emotion	😙	none
🥲	smiling face with tear	smiling_face_with_tear	Smileys & Emotion	🥲	none
😋	face savoring food	yum	Smileys & Emotion	😋	none
😛	face with tongue	stuck_out_tongue	Smileys & Emotion	😛	none
😜	winking face with tongue	stuck_out_tongue_winking_eye	Smileys & Emotion	😜	none
🤪	zany face	zany_face	Smileys & Emotion	🤪	none
😝	squinting face with tongue	stuck_out_tongue_closed_eyes	Smileys & Emotion	😝	none
🤑	money-mouth face	money_mouth_face	Smileys & Emotion	🤑	none
🤗	smiling face with open hands	hugs	Smileys & Emotion	🤗	none
🤭	face with hand over mouth	hand_over_mouth	Smileys & Emotion	🤭	none
🫢	face with open eyes and hand over mouth	face_with_open_eyes_and_hand_over_mouth	Smileys & Emotion	🫢	none
🫣	face with peeking eye	face_with_peeking_eye	Smileys & Emotion	🫣	none
🤫	shushing face	shushing_face	Smileys & Emotion	🤫	none
🤔	thinking face	thinking	Smileys & Emotion	🤔	none
🫡	saluting face	saluting_face	Smileys & Emotion	🫡	none
🤐	zipper-mouth face	zipper_mouth_face	Smileys & Emotion	🤐	none
🤨	face with raised eyebrow	raised_eyebrow	Smileys & Emotion	🤨	none
😐	neutral face	neutral_face	Smileys & Emotion	😐	none
😑	expressionless face	expressionless	Smileys & Emotion	😑	none
😶	face without mouth	no_mouth	Smileys & Emotion	😶	none
